temperature,li_bcc,al_fcc,ti_hcp,ge_cd
0.04,1.0,1.0,1.0,1.0
0.08,1.0,1.0,1.0,1.0
0.12,1.0,1.0,1.0,1.0
0.16,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.24,1.0,1.0,1.0,1.0
0.28,1.0,1.0,0.9999411702156067,1.0
0.32,1.0,1.0,0.9997059106826782,1.0
0.36,1.0,1.0,0.9992352724075317,1.0
0.4,1.0,1.0,0.9977647066116333,1.0
0.44,1.0,1.0,0.99647057056427,1.0
0.48,1.0,1.0,0.9942352771759033,1.0
0.52,1.0,1.0,0.9889411926269531,1.0
0.56,1.0,1.0,0.9821764826774597,1.0
0.6,1.0,1.0,0.9728823304176331,1.0
0.64,1.0,1.0,0.9664117693901062,1.0
0.68,1.0,1.0,0.9587059020996094,1.0
0.72,1.0,1.0,0.9504117369651794,1.0
0.76,1.0,1.0,0.9414117932319641,1.0
0.8,1.0,1.0,0.9372941255569458,1.0
0.84,1.0,1.0,0.924823522567749,1.0
0.88,1.0,1.0,0.9070000052452087,1.0
0.92,1.0,1.0,0.9134705662727356,1.0
0.96,1.0,1.0,0.9017646908760071,1.0
1.0,1.0,1.0,0.8861176371574402,1.0
1.04,1.0,1.0,0.8791764974594116,1.0
1.08,1.0,0.9999411702156067,0.8758823275566101,1.0
1.12,1.0,0.9998823404312134,0.8725882172584534,1.0
1.16,0.9999411702156067,0.9997646808624268,0.8664117455482483,1.0
1.2,0.9998823404312134,0.9851764440536499,0.8719411492347717,1.0
1.24,0.9975882172584534,0.9787647128105164,0.8652940988540649,1.0
1.28,0.99647057056427,0.9745882153511047,0.8604117631912231,0.6436470746994019
1.32,0.9958823323249817,0.9708823561668396,0.8607646822929382,0.6165294051170349
1.36,0.9925293922424316,0.9632940888404846,0.8512352705001831,0.5009999871253967
1.4,0.9910588264465332,0.9587059020996094,0.8557058572769165,0.49658823013305664
1.44,0.9898823499679565,0.9546470642089844,0.8478823304176331,0.4228823482990265
1.48,0.984529435634613,0.9497647285461426,0.8424705862998962,0.3215882480144501
1.52,0.978176474571228,0.9397059082984924,0.843999981880188,0.3121764659881592
1.56,0.9757058620452881,0.9319411516189575,0.8381764888763428,0.3038235306739807
1.6,0.9719411730766296,0.9244117736816406,0.8330588340759277,0.26505881547927856
